categoria_original;quantidade_livros;grupo_sugerido
Antropologia;1;Antropologia
Arte - Teatro Brasileiro;1;Arte
Autobiografia;1;Autobiografia
Biografia;7;Biografia
Casa Lygia Bojunga;2;Literatura
Cidadania/Sociologia;1;Sociologia
Ciência;1;Ciências
Ciências;39;Ciências
Ciências da Natureza;38;Ciências da Natureza
Ciências da Natureza/ Biologia;5;Ciências da Natureza
Ciências da Natureza - Biologia;2;Ciências da Natureza
Ciências da Natureza - Nutrição;2;Ciências da Natureza
Condições Sociais;2;Sociologia
Conto;20;Contos
Conto Inf. Juv.;3;Contos
Conto - Lit. Inf. Juv.;2;Contos
Conto Angolano;1;Contos
Conto Brasileiro;1;Contos
Conto Espanhol;1;Contos
Contos;104;Contos
Contos Brasileiros;3;Contos
Contos Indígenas - Lit. inf. Juv.;3;Contos
Contos Lit. Inf. Juv.;3;Contos
Contos Literatura;2;Contos
Contos Americanos;1;Contos
Contos Inf. Juv.;1;Contos
Contos Russos;1;Contos
Contos/Literatura;1;Contos
Cordel;2;Cordel
Crônica;17;Crônica
Crônicas;57;Crônica
Crônicas Colombianas;1;Crônica
Educação;6;Educação
Educação Física;5;Educação
Educação Infantil;1;Educação
Ed. Física;12;Educação
Ed. Esc. Ind.;1;Educação
Espanhol;1;Espanhol
Etíca e cidadania Sociologia;1;Sociologia
Fic. Inf. Juv.;8;Ficção
Ficção;169;Ficção
Ficção bras.;15;Ficção
Ficção Inf. Juv;13;Ficção
Ficção Inglesa;10;Ficção
Ficção Americana;8;Ficção
Ficção Juv.;4;Ficção
Ficção Alemã;3;Ficção
Ficção Espanhola;2;Ficção
Ficção Novela;2;Ficção
Ficção Policial;2;Ficção
Ficção - Lit. Inf. Juv.;1;Ficção
Ficção Amer.;1;Ficção
Ficção Belga;1;Ficção
Ficção Colom.;1;Ficção
Ficção Cubana;1;Ficção
Ficção em Quadrinhos;1;Ficção
Ficção Espan.;1;Ficção
Ficção inf. Juv.;1;Ficção
Ficção Inf.Juv.;1;Ficção
Ficção Juv. Amer.;1;Ficção
Ficção Lit. Juv;1;Ficção
Ficção Literatura Italiana;1;Ficção
Ficção NorteAmericaca;1;Ficção
Ficção Norueguesa;1;Ficção
Ficção romance;1;Ficção
Ficção Sueca;1;Ficção
Ficção/Romance;2;Ficção
Filosofia;20;Filosofia
Filosofia/ Logosofia;1;Filosofia
Formação de Professores;4;Formação de Professores
Geografia;30;Geografia
Geologia;1;Geologia
História;1;História
Holocausto;1;Holocausto
Inf. Juv.;1;Literatura
Lei Maria da Penha;1;Sociologia
Linguagem;1;Linguagem
Literatura;81;Literatura
Literatura Brasileira;49;Literatura
Literatura Juvenil;19;Literatura
Literatura Inglesa;14;Literatura
Literatura Russa;9;Literatura
Literatura de Cordel;8;Literatura
Literatura Alemã;5;Literatura
Literatura Americana;3;Literatura
Literatura Brasileira em quadrinhos;3;Literatura
Literatura Contos;3;Literatura
Literatura Italiana;3;Literatura
Literatura Bras.;2;Literatura
Literatura Brasileira Contos;2;Literatura
Literatura Francesa;2;Literatura
Literatura Norte-Americana;2;Literatura
Literatura Portuguesa;2;Literatura
Literatura Teatro;2;Literatura
Literatura - Mitologias Yanomami;1;Literatura
Literatura Africana;1;Literatura
Literatura Bras;1;Literatura
Literatura Brasileira - Conto;1;Literatura
Literatura Brasileira Romance;1;Literatura
Literatura Canadense;1;Literatura
Literatura Cubana;1;Literatura
Literatura Espanhola;1;Literatura
Literatura Espanhola/ Ficção;1;Literatura
Literatura Francesa Romance;1;Literatura
Literatura Grego Moderna;1;Literatura
Literatura Helenica;1;Literatura
Literatura Juvenil Inglesa;1;Literatura
Literatura Norte-Americana Contos;1;Literatura
